Labeling Type,Dosage Form(s),Route(s) of Administration,Marketing Category,Application Number(s),Trade Name,Generic/Proper Name(s),Most Recent SPL Date (YYYY/MM/DD),Established Pharmacologic Class(es),Initial U.S. Approval,Company,Marketing Date(s) (YYYY/MM/DD),NDC(s),Active Ingredient UNII(s),Active Ingredient(s),Active Moiety Name(s),Active Moiety UNII(s),FDALabel Link,DailyMed Link,DailyMed PDF Link,SET ID
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, EXTENDED RELEASE",ORAL,ANDA,209674,Metformin,METFORMIN,20181228,Biguanide,1995,INGENUS PHARMACEUTICALS LLC,2018/12/10-,50742-633; 50742-634,786Z46389E,METFORMIN HYDROCHLORIDE,METFORMIN,9100L32L2N,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/49a0b5c2-ebaf-4c4c-905f-dfd1962ac647/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=49a0b5c2-ebaf-4c4c-905f-dfd1962ac647,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=49a0b5c2-ebaf-4c4c-905f-dfd1962ac647,49a0b5c2-ebaf-4c4c-905f-dfd1962ac647
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,ANDA,200690,Metformin Hydrochloride,METFORMIN,20181114,Biguanide,1995,MYLAN PHARMACEUTICALS INC,2016/08/23-,0378-6001; 0378-6002,786Z46389E,METFORMIN HYDROCHLORIDE,METFORMIN,9100L32L2N,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/7e41818c-60e9-4bcf-9586-7bb8d33d5e89/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=7e41818c-60e9-4bcf-9586-7bb8d33d5e89,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=7e41818c-60e9-4bcf-9586-7bb8d33d5e89,7e41818c-60e9-4bcf-9586-7bb8d33d5e89
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,77880,Metformin Hydrochloride,METFORMIN,20120906,Biguanide,,AMNEAL PHARMACEUTICALS,2009/06/01-,65162-174; 65162-175; 65162-177,786Z46389E,METFORMIN HYDROCHLORIDE,METFORMIN,9100L32L2N,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/45cc673a-e125-4d76-8013-89a089eb0ae9/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=45cc673a-e125-4d76-8013-89a089eb0ae9,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=45cc673a-e125-4d76-8013-89a089eb0ae9,45cc673a-e125-4d76-8013-89a089eb0ae9
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,209313,Metformin ER 500 mg; Metformin ER 750 mg,METFORMIN ER 500 MG; METFORMIN ER 750 MG,20201015,Biguanide,1995,GRANULES INDIA LTD,2018/06/28-,62207-491; 62207-492,786Z46389E,METFORMIN HYDROCHLORIDE,METFORMIN,9100L32L2N,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/b857eccf-b9ff-45ba-8241-f47f5caada2a/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=b857eccf-b9ff-45ba-8241-f47f5caada2a,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=b857eccf-b9ff-45ba-8241-f47f5caada2a,b857eccf-b9ff-45ba-8241-f47f5caada2a
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,209313,Metformin,METFORMIN ER 500 MG; METFORMIN ER 750 MG,20200415,Biguanide,1995,GRANULES PHARMACEUTICALS INC,2019/07/18-,70010-491; 70010-492,786Z46389E,METFORMIN HYDROCHLORIDE,METFORMIN,9100L32L2N,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/6d6ee6f8-9650-ff4f-e053-2991aa0acf19/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6d6ee6f8-9650-ff4f-e053-2991aa0acf19,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=6d6ee6f8-9650-ff4f-e053-2991aa0acf19,6d6ee6f8-9650-ff4f-e053-2991aa0acf19
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,90564,Metformin HCl,METFORMIN HCL,20200713,Biguanide,,A S MEDICATION SOLUTIONS,2017/02/06-,50090-3050,786Z46389E,METFORMIN HYDROCHLORIDE,METFORMIN,9100L32L2N,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c37b511c-1e33-4941-bd12-df0447a50ca9/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c37b511c-1e33-4941-bd12-df0447a50ca9,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=c37b511c-1e33-4941-bd12-df0447a50ca9,c37b511c-1e33-4941-bd12-df0447a50ca9
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,90564,Metformin HCl,METFORMIN HCL,20200713,Biguanide,,A S MEDICATION SOLUTIONS,2017/02/06-,50090-3579,786Z46389E,METFORMIN HYDROCHLORIDE,METFORMIN,9100L32L2N,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/21cbb326-9dee-40ec-ac25-0dad79e3302b/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=21cbb326-9dee-40ec-ac25-0dad79e3302b,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=21cbb326-9dee-40ec-ac25-0dad79e3302b,21cbb326-9dee-40ec-ac25-0dad79e3302b
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,90564,Metformin HCl,METFORMIN HCL,20200311,Biguanide,,A S MEDICATION SOLUTIONS,2017/02/06-,50090-4891,786Z46389E,METFORMIN HYDROCHLORIDE,METFORMIN,9100L32L2N,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/74f18a3e-0f5c-4172-b499-14f229b431c4/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=74f18a3e-0f5c-4172-b499-14f229b431c4,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=74f18a3e-0f5c-4172-b499-14f229b431c4,74f18a3e-0f5c-4172-b499-14f229b431c4
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,ANDA,90564,Metformin HCl,METFORMIN HCL,20200120,Biguanide,,REDPHARM DRUG INC,2018/01/01-,67296-1604,786Z46389E,METFORMIN HYDROCHLORIDE,METFORMIN,9100L32L2N,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/6a9db5bf-5315-3418-e053-2a91aa0ad15f/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6a9db5bf-5315-3418-e053-2a91aa0ad15f,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=6a9db5bf-5315-3418-e053-2a91aa0ad15f,6a9db5bf-5315-3418-e053-2a91aa0ad15f
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,ANDA,90888,METFORMIN HCL,METFORMIN HCL,20191230,Biguanide,,TIME CAP LABORATORIES INC,2016/11/14-,49483-620; 49483-621; 49483-622,786Z46389E,METFORMIN HYDROCHLORIDE,METFORMIN,9100L32L2N,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/542cec22-eeae-4704-9bb6-4176640e5ea8/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=542cec22-eeae-4704-9bb6-4176640e5ea8,http://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=542cec22-eeae-4704-9bb6-4176640e5ea8,542cec22-eeae-4704-9bb6-4176640e5ea8
