In	O
this	O
same	O
cohort,	O
the	O
incidence	B-D015994
of	O
death	B-D003643
in	O
the	O
first	O
year	O
post-MI	O
was	O
20	O
per	O
100	O
person	O
years	O
in	O
NSAID-treated	O
patients	B-D010361
compared	O
to	O
12	O
per	O
100	O
person	O
years	O
in	O
non-NSAID	O
exposed	O
patients	B-D010361
	O

Although	O
the	O
absolute	O
rate	O
of	O
death	B-D003643
declined	O
somewhat	O
after	O
the	O
first	O
year	O
post-MI,	O
the	O
increased	O
relative	O
risk	B-D012306
of	O
death	B-D003643
in	O
NSAID	O
users	O
persisted	O
over	O
at	O
least	O
the	O
next	O
four	O
years	O
of	O
follow-up	O

Avoid	O
the	O
use	O
of	O
celecoxib	B-D000068579
in	O
patients	B-D010361
with	O
a	O
recent	O
MI	O
unless	O
the	O
benefits	O
are	O
expected	O
to	O
outweigh	O
the	O
risk	B-D012306
of	O
recurrent	O
CV	O
thrombotic	O
events	O

If	O
celecoxib	B-D000068579
is	O
used	O
in	O
patients	B-D010361
with	O
a	O
recent	O
MI,	O
monitor	O
patients	B-D010361
for	O
signs	O
of	O
cardiac	B-D002299
ischemia	B-D007511
	O

5.2	O
Gastrointestinal	O
Bleeding,	O
Ulceration,	B-D014456
and	O
Perforation	O
NSAIDs,	O
including	O
celecoxib	B-D000068579
cause	O
serious	O
gastrointestinal	O
(GI)	O
adverse	O
events	O
including	O
inflammation,	B-D007249
bleeding,	O
ulceration,	B-D014456
and	O
perforation	O
of	O
the	O
esophagus,	B-D004947
stomach,	B-D013270
small	O
intestine,	O
or	O
large	O
intestine,	O
which	O
can	O
be	O
fatal	O

These	O
serious	O
adverse	O
events	O
can	O
occur	O
at	O
any	O
time,	B-D013995
with	O
or	O
without	O
warning	O
symptoms,	O
in	O
patients	B-D010361
treated	O
with	O
celecoxib	B-D000068579
	O

Only	O
one	O
in	O
five	O
patients	B-D010361
who	O
develop	O
a	O
serious	O
upper	O
GI	O
adverse	O
event	O
on	O
NSAID	O
therapy	O
is	O
symptomatic	O

Upper	O
GI	O
ulcers,	B-D014456
gross	O
bleeding,	O
or	O
perforation	O
caused	O
by	O
NSAIDs	O
occurred	O
in	O
approximately	O
1%	O
of	O
patients	B-D010361
treated	O
for	O
3–6	O
months,	O
and	O
in	O
about	O
2%–4%	O
of	O
patients	B-D010361
treated	O
for	O
one	O
year	O

However,	O
even	O
short-term	O
NSAID	O
therapy	O
is	O
not	O
without	O
risk	B-D012306
	O

Risk	B-D012307
Factors	I-D012307
for	O
GI	O
Bleeding,	O
Ulceration,	B-D014456
and	O
Perforation	O
Patients	B-D010361
with	O
a	O
prior	O
history	B-D006664
of	O
peptic	B-D010437
ulcer	I-D010437
disease	B-D004194
and/or	O
GI	O
bleeding	O
who	O
used	O
NSAIDs	O
had	O
a	O
greater	O
than	O
10-fold	O
increased	O
risk	B-D012306
for	O
developing	O
a	O
GI	O
bleed	O
compared	O
to	O
patients	B-D010361
without	O
these	O
risk	B-D012307
factors	I-D012307
	O

Other	O
factors	O
that	O
increase	O
the	O
risk	B-D012306
of	O
GI	O
bleeding	O
in	O
patients	B-D010361
treated	O
with	O
NSAIDs	O
include	O
longer	O
duration	O
of	O
NSAID	O
therapy;	O
concomitant	O
use	O
of	O
oral	O
corticosteroids,	O
aspirin,	B-D001241
anticoagulants;	B-D000925
or	O
selective	O
serotonin	B-D012701
reuptake	O
inhibitors	O
(SSRIs);	O
smoking;	B-D012907
use	O
of	O
alcohol;	O
older	O
age;	O
and	O
poor	O
general	O
health	B-D006304
status	I-D006304
	O

Most	O
postmarketing	O
reports	O
of	O
fatal	O
GI	O
events	O
occurred	O
in	O
elderly	O
or	O
debilitated	O
patients	B-D010361
	O

Additionally,	O
patients	B-D010361
with	O
advanced	O
liver	B-D008099
disease	B-D004194
and/or	O
coagulopathy	O
are	O
at	O
increased	O
risk	B-D012306
for	O
GI	O
bleeding	O

Complicated	O
and	O
symptomatic	O
ulcer	B-D014456
rates	O
were	O
0.78%	O
at	O
nine	O
months	O
for	O
all	O
patients	B-D010361
in	O
the	O
CLASS	O
trial,	O
and	O
2.19%	O
for	O
the	O
subgroup	O
on	O
low-dose	O
ASA	O

Patients	B-D010361
65	O
years	O
of	O
age	O
and	O
older	O
had	O
an	O
incidence	B-D015994
of	O
1.40%	O
at	O
nine	O
months,	O
3.06%	O
when	O
also	O
taking	O
ASA	O
[see	O
Clinical	O
Studies	O
(14.6)]	O

Strategies	O
to	O
Minimize	O
the	O
GI	O
Risks	B-D012306
in	O
NSAID-treated	O
patients:	B-D010361
Use	O
the	O
lowest	O
effective	O
dosage	O
for	O
the	O
shortest	O
possible	O
duration	O

Avoid	O
administration	O
of	O
more	O
than	O
one	O
NSAID	O
at	O
a	O
time	B-D013995
	O

Avoid	O
use	O
in	O
patients	B-D010361
at	O
higher	O
risk	B-D012306
unless	O
benefits	O
are	O
expected	O
to	O
outweigh	O
the	O
increased	O
risk	B-D012306
of	O
bleeding	O

For	O
such	O
patients,	B-D010361
as	O
well	O
as	O
those	O
with	O
active	O
GI	O
bleeding,	O
consider	O
alternate	O
therapies	O
other	O
than	O
NSAIDs	O

Remain	O
alert	O
for	O
signs	B-D012816
and	I-D012816
symptoms	I-D012816
of	O
GI	O
ulceration	B-D014456
and	O
bleeding	O
during	O
NSAID	O
therapy	O

If	O
a	O
serious	O
GI	O
adverse	O
event	O
is	O
suspected,	O
promptly	O
initiate	O
evaluation	O
and	O
treatment,	O
and	O
discontinue	O
celecoxib	B-D000068579
until	O
a	O
serious	O
GI	O
adverse	O
event	O
is	O
ruled	O
out	O

In	O
the	O
setting	O
of	O
concomitant	O
use	O
of	O
low-dose	O
aspirin	B-D001241
for	O
cardiac	B-D002299
prophylaxis,	O
monitor	O
patients	B-D010361
more	O
closely	O
for	O
evidence	O
of	O
GI	O
bleeding	O
[see	O
Drug	B-D004347
Interactions	I-D004347
(7)	O
]	O

5.3	O
Hepatotoxicity	O
Elevations	O
of	O
ALT	O
or	O
AST	O
(three	O
or	O
more	O
times	B-D013995
the	O
upper	O
limit	O
of	O
normal	O
[ULN])	O
have	O
been	O
reported	O
in	O
approximately	O
1%	O
of	O
NSAID-treated	O
patients	B-D010361
in	O
clinical	B-D016430
trials	I-D016430
	O

In	O
addition,	O
rare,	O
sometimes	O
fatal,	O
cases	O
of	O
severe	O
hepatic	O
injury,	O
including	O
fulminant	O
hepatitis,	B-D006505
liver	B-D008099
necrosis,	B-D009336
and	O
hepatic	O
failure	O
have	O
been	O
reported	O

Elevations	O
of	O
ALT	O
or	O
AST	O
(less	O
than	O
three	O
times	B-D013995
ULN)	O
may	O
occur	O
in	O
up	O
to	O
15%	O
of	O
patients	B-D010361
treated	O
with	O
NSAIDs	O
including	O
celecoxib	B-D000068579
	O

In	O
controlled	B-D018848
clinical	I-D018848
trials	I-D018848
of	O
celecoxib,	B-D000068579
the	O
incidence	B-D015994
of	O
borderline	O
elevations	O
(greater	O
than	O
or	O
equal	O
to	O
1.2	O
times	B-D013995
and	O
less	O
than	O
3	O
times	B-D013995
the	O
upper	O
limit	O
of	O
normal)	O
of	O
liver	B-D008099
associated	O
enzymes	B-D004798
was	O
6%	O
for	O
celecoxib	B-D000068579
and	O
5%	O
for	O
placebo,	O
and	O
approximately	O
0.2%	O
of	O
patients	B-D010361
taking	O
celecoxib	B-D000068579
and	O
0.3%	O
of	O
patients	B-D010361
taking	O
placebo	O
had	O
notable	O
elevations	O
of	O
ALT	O
and	O
AST	O

Inform	O
patients	B-D010361
of	O
the	O
warning	O
signs	B-D012816
and	I-D012816
symptoms	I-D012816
of	O
hepatotoxicity	O
(e.g.,	O
nausea,	B-D009325
fatigue,	B-D005221
lethargy,	B-D053609
diarrhea,	B-D003967
pruritus,	B-D011537
jaundice,	B-D007565
right	O
upper	O
quadrant	O
tenderness,	O
and	O
"flu-like"	O
symptoms)	O

If	O
clinical	O
signs	B-D012816
and	I-D012816
symptoms	I-D012816
consistent	O
with	O
liver	B-D008099
disease	B-D004194
develop,	O
or	O
if	O
systemic	O
manifestations	O
occur	O
(e.g.,	O
eosinophilia,	B-D004802
rash,	O
etc.),	O
discontinue	O
celecoxib	B-D000068579
immediately,	O
and	O
perform	O
a	O
clinical	O
evaluation	O
of	O
the	O
patient	O

5.4	O
Hypertension	B-D006973
NSAIDs,	O
including	O
celecoxib	B-D000068579
can	O
lead	B-D007854
to	O
new	O
onset	O
of	O
hypertension	B-D006973
or	O
worsening	O
of	O
preexisting	O
hypertension,	B-D006973
either	O
of	O
which	O
may	O
contribute	O
to	O
the	O
increased	O
incidence	B-D015994
of	O
CV	O
events	O

Patients	B-D010361
taking	O
angiotensin	O
converting	O
enzyme	O
(ACE)	O
inhibitors,	O
thiazide	O
diuretics	B-D004232
or	O
loop	O
diuretics	B-D004232
may	O
have	O
impaired	O
response	O
to	O
these	O
therapies	O
when	O
taking	O
NSAIDs	O
[see	O
Drug	B-D004347
Interactions	I-D004347
(7)	O
]	O

The	O
rates	O
of	O
hypertension	B-D006973
from	O
the	O
CLASS	O
trial	O
in	O
the	O
celecoxib,	B-D000068579
ibuprofen	B-D007052
and	O
diclofenac-treated	B-D004008
patients	B-D010361
were	O
2.4%,	O
4.2%	O
and	O
2.5%,	O
respectively	B-D000078682
[see	O
Clinical	O
Studies	O
(14.6)	O
]	O

Monitor	O
blood	B-D001794
pressure	I-D001794
(BP)	O
during	O
the	O
initiation	O
of	O
NSAID	O
treatment	O
and	O
throughout	O
the	O
course	O
of	O
therapy	O

5.5	O
Heart	B-D006333
Failure	I-D006333
and	O
Edema	B-D004487
The	O
Coxib	O
and	O
traditional	O
NSAID	O
Trialists'	O
Collaboration	O
meta-analysis	B-D017418
of	O
randomized	B-D016449
controlled	I-D016449
trials	I-D016449
demonstrated	O
an	O
approximately	O
two-fold	O
increase	O
in	O
hospitalizations	B-D006760
for	O
heart	B-D006333
failure	I-D006333
in	O
COX-2	O
selective-treated	O
patients	B-D010361
and	O
