Additional	O
Adverse	O
Reactions	O
Reported	O
with	O
NSAIDs	O
Body	O
as	O
a	O
whole	O
-	O
Sepsis,	B-D018805
deathCardiovascular	B-D003643
system	O
-	O
TachycardiaDigestive	B-D013610
system	O
-	O
Gastric	O
ulcers,	B-D014456
gastritis,	B-D005756
gastrointestinal	O
bleeding,	O
glossitis,	B-D005928
hematemesisHemic	B-D006396
and	O
lymphatic	B-D008208
system	I-D008208
-	O
LymphadenopathyNervous	B-D000072281
system	O
-	O
Anxiety,	B-D001007
dream	O
abnormalities,	O
convulsions,	O
coma,	B-D003128
hallucinations,	B-D006212
meningitis,	B-D008581
tremors,	B-D014202
vertigoRespiratory	B-D014717
system	O
-	O
Respiratory	O
depression,	B-D003863
pneumoniaUrogenital	B-D011014
system	O
-	O
Oliguria/polyuria,	B-D009846
proteinuria	B-D011507
BOXED	O
WARNING	O
Cardiovascular	O
Thrombotic	O
Events	O
Nonsteroidal	O
anti-inflammatory	O
drugs	O
(NSAIDs)	O
cause	O
an	O
increased	O
risk	B-D012306
of	O
serious	O
cardiovascular	O
thrombotic	O
events,	O
including	O
myocardial	B-D009203
infarction	I-D009203
and	O
stroke,	B-D020521
which	O
can	O
be	O
fatal	O

This	O
risk	B-D012306
may	O
occur	O
early	B-D004423
in	O
treatment	O
and	O
may	O
increase	O
with	O
duration	O
of	O
use	O

(See	O
WARNINGS	O
and	O
PRECAUTIONS)	O

IBU	O
tablets	B-D013607
are	O
contraindicated	O
in	O
the	O
setting	O
of	O
coronary	B-D001026
artery	I-D001026
bypass	I-D001026
graft	O
(CABG)	O
surgery	O
(See	O
CONTRAINDICATIONS	B-D000075202
and	O
WARNINGS)	O

Gastrointestinal	O
Risk	B-D012306
NSAIDS	O
cause	O
an	O
increased	O
risk	B-D012306
of	O
serious	O
gastrointestinaladverse	O
events	O
including	O
bleeding,	O
ulceration,	B-D014456
and	O
perforationof	O
the	O
stomach	B-D013270
or	O
intestines,	B-D007422
which	O
can	O
be	O
fatal	O

These	O
eventscan	O
occur	O
at	O
any	O
time	B-D013995
during	O
use	O
and	O
without	O
warning	O
symptoms.Elderly	O
patients	B-D010361
are	O
at	O
greater	O
risk	B-D012306
for	O
serious	O
gastrointestinalevents	O

(See	O
WARNINGS	O
)	O

ADVERSE	O
REACTIONS	O
The	O
most	O
frequent	O
type	O
of	O
adverse	O
reaction	O
occurring	O
withIbuprofen	O
tablets	B-D013607
is	O
gastrointestinal	O

In	O
controlled	B-D018848
clinical	I-D018848
trials	I-D018848
thepercentage	O
of	O
patients	B-D010361
reporting	O
one	O
or	O
more	O
gastrointestinal	O
complaintsranged	O
from	O
4%	O
to	O
16%	O

In	O
controlled	O
studies	O
when	O
Ibuprofen	B-D007052
tablets	B-D013607
were	O
compared	O
toaspirin	O
and	O
indomethacin	B-D007213
in	O
equally	O
effective	O
doses,	O
the	O
overall	B-D016424
incidenceof	B-D015994
gastrointestinal	O
complaints	O
was	O
about	O
half	O
that	O
seen	O
in	O
eitherthe	O
aspirin-	B-D001241
or	O
indomethacin-treated	B-D007213
patients	B-D010361
	O

Adverse	O
reactions	O
observed	O
during	O
controlled	B-D018848
clinical	I-D018848
trials	I-D018848
at	O
anincidence	O
greater	O
than	O
1%	O
are	O
listed	O
in	O
the	O
table	O

Those	O
reactions	O
listedin	O
Column	O
one	O
encompass	O
observations	B-D019370
in	O
approximately	O
3,000patients	O

More	O
than	O
500	O
of	O
these	O
patients	B-D010361
were	O
treated	O
for	O
periods	O
ofat	O
least	O
54	O
weeks	O

Still	O
other	O
reactions	O
occurring	O
less	O
frequently	O
than	O
1	O
in	O
100	O
werereported	O
in	O
controlled	B-D018848
clinical	I-D018848
trials	I-D018848
and	O
from	O
marketing	B-D040541
experience.These	O
reactions	O
have	O
been	O
divided	O
into	O
two	O
categories:	O
Column	O
twoof	O
the	O
table	O
lists	O
reactions	O
with	O
therapy	O
with	O
Ibuprofen	B-D007052
tablets	B-D013607
wherethe	O
probability	B-D011336
of	O
a	O
causal	O
relationship	O
exists:	O
for	O
the	O
reactions	O
inColumn	O
three,	O
a	O
causal	O
relationship	O
with	O
Ibuprofen	B-D007052
tablets	B-D013607
has	O
notbeen	O
established	O

Reported	O
side	O
effects	O
were	O
higher	O
at	O
doses	O
of	O
3200	O
mg/day	O
thanat	O
doses	O
of	O
2400	O
mg	O
or	O
less	O
per	O
day	O
in	O
clinical	B-D016430
trials	I-D016430
of	O
patients	B-D010361
withrheumatoid	O
arthritis	B-D001168
	O

The	O
increases	O
in	O
incidence	B-D015994
were	O
slight	O
and	O
stillwithin	O
the	O
ranges	O
reported	O
in	O
the	O
table	O

table	O
Cardiovascular	O
Thrombotic	O
Events	O
Nonsteroidal	O
anti-inflammatory	O
drugs	O
(NSAIDs)	O
cause	O
an	O
increased	O
risk	B-D012306
of	O
serious	O
cardiovascular	O
thrombotic	O
events,	O
including	O
myocardial	B-D009203
infarction	I-D009203
and	O
stroke,	B-D020521
which	O
can	O
be	O
fatal	O

This	O
risk	B-D012306
may	O
occur	O
early	B-D004423
in	O
treatment	O
and	O
may	O
increase	O
with	O
duration	O
of	O
use	O
(see	O
WARNINGS	O
and	O
PRECAUTIONS)	O
	O

Etodolac	B-D017308
is	O
contraindicated	O
in	O
the	O
setting	O
of	O
coronary	B-D001026
artery	I-D001026
bypass	I-D001026
graft	O
(CABG)	O
surgery	O
(see	O
CONTRAINDICATIONS	B-D000075202
and	O
WARNINGS	O
)	O

Gastrointestinal	O
Risk	B-D012306
NSAIDs	O
cause	O
an	O
increased	O
risk	B-D012306
of	O
serious	O
gastrointestinal	O
adverse	O
events	O
including	O
bleeding,	O
ulceration,	B-D014456
and	O
perforation	O
of	O
the	O
stomach	B-D013270
or	O
intestines,	B-D007422
which	O
can	O
be	O
fatal	O

These	O
events	O
can	O
occur	O
at	O
any	O
time	B-D013995
during	O
use	O
and	O
without	O
warning	O
symptoms	O

Elderly	O
patients	B-D010361
are	O
at	O
a	O
greater	O
risk	B-D012306
for	O
serious	O
gastrointestinal	O
